suffix,covariates,spde,nugget,admin1,nugget_in_predict,run_stacking,prior_fixed_effects,prior_range,prior_sigma,prior_nugget,prior_admin1
default,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.75,0.2,0.75,0.15,0.75
default_wide,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.5,0.2,1.5,0.25,1.5
default_tight,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.3,0.2,0.3,0.05,0.3
no_ad1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.75,0.2,0.75,0.15,0.75
no_ad1_wide,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.5,0.2,1.5,0.25,1.5
no_ad1_tight,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.3,0.2,0.3,0.05,0.3
no_nugget,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.75,0.2,0.75,0.15,0.75
no_nugget_wide,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1.5,0.2,1.5,0.25,1.5
no_nugget_tight,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.3,0.2,0.3,0.05,0.3
no_gp,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.75,0.2,0.75,0.15,0.75
no_gp_wide,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1.5,0.2,1.5,0.25,1.5
no_gp_tight,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.3,0.2,0.3,0.05,0.3
no_covs,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.75,0.2,0.75,0.15,0.75
no_covs_wide,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1.5,0.2,1.5,0.25,1.5
no_covs_tight,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.3,0.2,0.3,0.05,0.3
default_unstacked,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.75,0.2,0.75,0.15,0.75
default_wide_unstacked,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1.5,0.2,1.5,0.25,1.5
default_tight_unstacked,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.3,0.2,0.3,0.05,0.3
default_nnip,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.75,0.2,0.75,0.15,0.75
default_wide_nnip,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.5,0.2,1.5,0.25,1.5
default_tight_nnip,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.3,0.2,0.3,0.05,0.3
default_unstacked_nnip,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.75,0.2,0.75,0.15,0.75
default_wide_unstacked_nnip,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.5,0.2,1.5,0.25,1.5
default_tight_unstacked_nnip,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.3,0.2,0.3,0.05,0.3
